"Kamen, Henry", "Early Modern European Society", "London", "Routledge", "2000"
"Elliott, J. H.", "Imperial Spain: 1469--1716", "London", "Penguin", "2002"
"Schmemann, Alexander", "For the Life of the World: Sacraments and Orthodoxy", "Crestwood, NY", "St. Vladimir's Seminary Press", "1973"
